그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
HOME	79	Account	Bank	Add bank account 선택시, Bank Registeration 화면으로 전환됨			09_Home	[04] QR 아이콘 탭 → 잔액 카드가 QR 페이지로 전환 확인	0.09	09_Home	[14] GME Wallet 번호 복사 → 복사 완료 토스트 확인
HOME	80	Account	QR	QR 선택시, QR 페이지로 전환 확인 - Add Bank Account에서 스와이프시, QR 페이지 이동 확인			09_Home	[04] QR 아이콘 탭 → 잔액 카드가 QR 페이지로 전환 확인	0.32	09_Home	[03] 잔액 카드 페이저 스와이프 → 계좌 전환 확인
HOME	81	Account	QR	Send 선택시, 바텀시트 발생 확인 - Global QR, Local Transfer			09_Home	[09] 송금 버튼 탭 → 송금 종류 바텀시트 노출 확인	0.19	09_Home	[12] 플로팅 고객지원 버튼 탭 → 고객지원 바텀시트 항목 확인
HOME	82	Account	QR	Receive 선택시, My QR 화면 이동 확인			09_Home	[15] 배너 탭 → 화면 이동 후 홈 복귀 확인	0.34	09_Home	[11] 환율 영역 탭 → 오늘의 환율 화면 이동 확인
HOME	83	Reward Points	QR	보유한 Reward Points 노출 확인  - Reward Points 선택 시 Reward Point 화면 이동 확인 			09_Home	[15] 배너 탭 → 화면 이동 후 홈 복귀 확인	0.22	09_Home	[06] 리워드 포인트 탭 → 리워드 포인트 내역 화면 이동 확인
HOME	84	Rate	QR	실시간 환율이 표시 확인 - 선택시, Today's Rate 화면 이동 확인	07_TodaysRate	[01] 홈 환율 탭→Today's Rate 화면 이동					
HOME	85	Recent History	QR	최근 내역 더보기 탭 → 내역(History) 화면 이동 확인	09_Home	[10] 최근 내역 더보기→History 화면					
HOME	86	Recent History	QR	최근 내역 국내 재송금 탭 → 국내 송금 출금 계좌 선택 화면 이동 확인	09_Home	[11] 최근 내역 재송금(국내)→출금계좌 선택					
HOME	87	Recent History	QR	최근 내역 재송금 탭 → 해외/국내 화면 이동 — 해외 거래→해외송금상세 / 국내→국내송금	09_Home	[12] 최근 내역 재송금→해외/국내 화면					
HOME	88	Service Shortcuts	QR	ATM 출금 탭 → ATM 출금 화면 이동 확인 → 홈 복귀	09_Home	[13] ATM 탭→화면 이동					
HOME	89	Service Shortcuts	QR	모바일 충전 탭 → 모바일 충전 화면 이동 확인 → 홈 복귀	09_Home	[14] 모바일 충전 탭→화면 이동					
HOME	90	Service Shortcuts	QR	청구서 결제 탭 → 청구서 결제 화면 이동 확인 → 홈 복귀	09_Home	[15] 청구서 결제 탭→화면 이동					
HOME	91	Service Shortcuts	QR	GME 모바일 탭 → GME 텔레콤 화면 이동 확인 → 홈 복귀	09_Home	[16] GME 모바일 탭→화면 이동					
HOME	92	Service Shortcuts	QR	예약 탭 → 기차표 예약 화면 이동 확인 → 홈 복귀	09_Home	[17] 예약 탭→화면 이동					
HOME	93	Service Shortcuts	QR	증명서 발급 탭 → 증명서 발급 화면 이동 확인 → 홈 복귀	09_Home	[18] 증명서 발급 탭→화면 이동					
HOME	94	Service Shortcuts	QR	이벤트 탭 → 이벤트 화면 이동 확인 → 홈 복귀	09_Home	[19] 이벤트 탭→화면 이동					
HOME	95	Banner	QR	홈 화면 배너 자동 롤링 확인 — 3~4초 간격, N/N 인디케이터 전환 확인	09_Home	[21] 배너 자동 롤링 확인					
HOME	96	Banner	QR	배너 탭 → 앱 내 브라우저(웹뷰) 열림 → Back → 홈 복귀 확인	09_Home	[22] 배너 탭→웹뷰→홈 복귀					
HOME	97	Customer Support	-	[말풍선]버튼 선택시, Customer Support 팝업이 표시됨 - {요일}: 09:00 AM ~ 06:00 PM			09_Home	[10] 입금 버튼 탭 → 입금 서비스 화면 이동 확인	0.07	09_Home	[09] 송금 버튼 탭 → 송금 종류 바텀시트 노출 확인
HOME	98	Customer Support	Live Chat	챗봇 화면 전환 확인			09_Home	[01] 홈 화면 기본 요소 노출 확인	0.36	09_Home	[15] 배너 탭 → 화면 이동 후 홈 복귀 확인
HOME	99	Customer Support	Facebook	페이스북 페이지 전환 확인			09_Home	[03] 잔액 카드 페이저 스와이프 → 계좌 전환 확인	0.40	09_Home	[04] QR 아이콘 탭 → 잔액 카드가 QR 페이지로 전환 확인
HOME	100	Customer Support	Instagram	인스타그램 페이지 전환 확인			09_Home	[04] QR 아이콘 탭 → 잔액 카드가 QR 페이지로 전환 확인	0.33	09_Home	[03] 잔액 카드 페이저 스와이프 → 계좌 전환 확인
HOME	101	Customer Support	Naver	네이버 블로그 페이지 전환 확인			09_Home	[04] QR 아이콘 탭 → 잔액 카드가 QR 페이지로 전환 확인	0.34	09_Home	[03] 잔액 카드 페이저 스와이프 → 계좌 전환 확인
HOME	102	Customer Support	Kakao	카카오 화면 전환 확인			09_Home	[01] 홈 화면 기본 요소 노출 확인	0.35	09_Home	[11] 환율 영역 탭 → 오늘의 환율 화면 이동 확인
HOME	103	Customer Support	Call	전화번호 자동입력 확인			09_Home	[15] 배너 탭 → 화면 이동 후 홈 복귀 확인	0.25	09_Home	[01] 홈 화면 기본 요소 노출 확인
MENU	104	Information	Call	Full Name, Phone Number, Email 정보 표시 확인			04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인	0.20	04_Menu_History	[35] History - Top-up - International Topup 검색 동작 확인
MENU	105	LinkBank (KTFC) Account	Register Bank Account	은행목록 및 은행선택 동작 확인			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.44	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	106	Link Bank Account	Register Bank Account	은행계좌번호 입력동작 확인 			04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인	0.39	04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인
MENU	107	Link Bank Account	Register Bank Account	올바른 은행계좌번호 입력하여 계좌인증 성공 확인			04_Menu_History	[24] History - Account - Bank Statement 조회 확인	0.29	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	108	Link Bank Account	Register Bank Account	올바르지않은 은행계좌번호 입력하여 계좌인증 실패 확인 			04_Menu_History	[24] History - Account - Bank Statement 조회 확인	0.28	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	109	Link Bank Account	ARS Verification	ARS 정보 edit 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.52	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	110	Link Bank Account	ARS Verification	ARS 전달 언어 변경 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.47	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	111	Link Bank Account	ARS Verification	ARS Call 받지않음 동작 > SKIP 동작 확인  (계좌목록 Personal verification 버튼 확인)			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.37	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	112	Link Bank Account	ARS Verification	ARS Call 인증동작 성공 확인 및 KFTC 계좌등록 성공 확인			04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인	0.38	04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인
MENU	113	Link Bank Account	Face Verification	셀피 촬영 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.46	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	114	Link Bank Account	Face Verification	ID Card / Passport 촬영 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.45	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	115	Link Bank Account	Face Verification	얼굴 인증 성공 및 KFTC 계좌등록 성공확인  - Confirmation Pending			04_Menu_History	[24] History - Account - Bank Statement 조회 확인	0.32	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	116	Link Bank Account	Face Verification	KFTC 계좌 삭제 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.46	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	117	Link Bank Account	Customer Support	[?]선택시, CS팝업 발생 확인			26_Menu	[01-1] 은행 계좌 연결 → [?](csButton) → 고객센터 팝업 발생 확인	0.35	04_Menu_History	[24] History - Account - Bank Statement 조회 확인
MENU	118	Inbound Account	Add Inbound Account	은행리스트 및 선택 동작 확인			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.44	04_Menu_History	[07] History - Remittance - 스케줄송금 필터 동작 확인
MENU	119	Inbound Account	Add Inbound Account	계좌번호 입력 동작 확인 			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.49	04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인
MENU	120	Inbound Account	Add Inbound Account	1원인증 재전송 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.45	04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인
MENU	121	Inbound Account	Add Inbound Account	계좌추가 동작 확인 및 1원인증 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.42	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	122	Inbound Account	Add Inbound Account	인바운드 등록계좌 삭제 동작 확인 			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.59	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	123	HIstory	My Usage	[←], [→]버튼 선택시 날짜(월) 변경 확인			04_Menu_History	[41] History - My Usage - [←],[→] 버튼 선택 시 날짜(월) 변경 확인	1.03	04_Menu_History	[42] History - My Usage - [Chart] 버튼 선택 시 막대/도넛 차트 변경 확인
MENU	124	HIstory	My Usage	[Chart]버튼 선택시 막대/도넛 차트 변경 확인			04_Menu_History	[42] History - My Usage - [Chart] 버튼 선택 시 막대/도넛 차트 변경 확인	1.08	04_Menu_History	[41] History - My Usage - [←],[→] 버튼 선택 시 날짜(월) 변경 확인
MENU	125	HIstory	My Usage	GME Card 선택시 화면 진입 확인			04_Menu_History	[43] History - My Usage - GME Card 선택 시 화면 진입 확인 (맨 뒤 배치)	0.92	04_Menu_History	[47] History - My Usage - ATM Withdrawal 선택 시 화면 진입 확인
MENU	126	HIstory	My Usage	Overseas Transfer 선택시 화면 진입 확인			04_Menu_History	[44] History - My Usage - Overseas Transfer(해외송금) 선택 시 화면 진입 확인	0.95	04_Menu_History	[45] History - My Usage - Domestic Transfer(국내 송금) 선택 시 화면 진입 확인
MENU	127	HIstory	My Usage	Domestic Transfer 선택시 화면 진입 확인			04_Menu_History	[45] History - My Usage - Domestic Transfer(국내 송금) 선택 시 화면 진입 확인	0.92	04_Menu_History	[44] History - My Usage - Overseas Transfer(해외송금) 선택 시 화면 진입 확인
MENU	128	HIstory	My Usage	International Bill Payment 선택시 화면 진입 확인			04_Menu_History	[46] History - My Usage - International Bill Payment(청구서) 선택 시 화면 진입 확	0.99	04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인
MENU	129	HIstory	My Usage	ATM Withdrawal 선택시 화면 진입 확인			04_Menu_History	[47] History - My Usage - ATM Withdrawal 선택 시 화면 진입 확인	1.05	04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인
MENU	130	HIstory	My Usage	International Top-up 선택시 화면 진입 확인			04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인	1.07	04_Menu_History	[46] History - My Usage - International Bill Payment(청구서) 선택 시 화면 진입 확
MENU	131	HIstory	Remittance	해외송금 필터동작 확인 			04_Menu_History	[04] History - Remittance - 해외송금 필터동작 확인	1.18	04_Menu_History	[15] History - Remittance - 국내송금 필터동작 확인
MENU	132	HIstory	Remittance	해외송금 이력 다운로드 동작 확인 			04_Menu_History	[05] History - Remittance - 해외송금 영수증 다운로드 동작 확인	0.94	04_Menu_History	[13] History - Remittance - 국내송금 영수증 다운로드 동작 확인
MENU	133	HIstory	Remittance	해외송금 상세페이지 Wallet 송금내역 재송금 동작 확인 - Send Money			04_Menu_History	[01] History - Remittance - 해외송금 상세페이지 재송금(Send Money) 동작 확인	0.90	04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인
MENU	134	HIstory	Remittance	해외송금 상세페이지 KFTC 송금내역 재송금 동작 확인  - Send Money			04_Menu_History	[01] History - Remittance - 해외송금 상세페이지 재송금(Send Money) 동작 확인	0.91	04_Menu_History	[12] History - Remittance - 국내송금 상세페이지 확인
MENU	135	HIstory	Remittance	해외송금 영수증 다운로드 동작 확인 			04_Menu_History	[05] History - Remittance - 해외송금 영수증 다운로드 동작 확인	1.18	04_Menu_History	[13] History - Remittance - 국내송금 영수증 다운로드 동작 확인
MENU	136	HIstory	Remittance	해외송금 검색동작 확인 			04_Menu_History	[03] History - Remittance - 해외송금 검색동작 확인	1.18	04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인
MENU	137	HIstory	Remittance	스케줄송금 필터 동작 확인 			04_Menu_History	[07] History - Remittance - 스케줄송금 필터 동작 확인	1.18	04_Menu_History	[10] History - Remittance - 스케줄송금 검색동작 확인
MENU	138	HIstory	Remittance	스케줄송금 상세페이지 확인 			04_Menu_History	[08] History - Remittance - 스케줄송금 상세페이지 확인	1.18	04_Menu_History	[12] History - Remittance - 국내송금 상세페이지 확인
MENU	139	HIstory	Remittance	스케줄송금 이력 다운로드 동작 확인 			04_Menu_History	[07] History - Remittance - 스케줄송금 필터 동작 확인	0.79	04_Menu_History	[13] History - Remittance - 국내송금 영수증 다운로드 동작 확인
MENU	140	HIstory	Remittance	스케줄송금 검색동작 확인 			04_Menu_History	[10] History - Remittance - 스케줄송금 검색동작 확인	1.18	04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인
MENU	141	HIstory	Remittance	국내송금 검색동작 확인 			04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인	1.18	04_Menu_History	[15] History - Remittance - 국내송금 필터동작 확인
MENU	142	HIstory	Remittance	국내송금 상세페이지 확인			04_Menu_History	[12] History - Remittance - 국내송금 상세페이지 확인	1.18	04_Menu_History	[08] History - Remittance - 스케줄송금 상세페이지 확인
MENU	143	HIstory	Remittance	국내송금 영수증 다운로드 동작 확인			04_Menu_History	[13] History - Remittance - 국내송금 영수증 다운로드 동작 확인	1.18	04_Menu_History	[05] History - Remittance - 해외송금 영수증 다운로드 동작 확인
MENU	144	HIstory	Remittance	국내송금 이력 다운로드 동작 확인 			04_Menu_History	[13] History - Remittance - 국내송금 영수증 다운로드 동작 확인	0.94	04_Menu_History	[05] History - Remittance - 해외송금 영수증 다운로드 동작 확인
MENU	145	HIstory	Remittance	국내송금 필터동작 확인			04_Menu_History	[15] History - Remittance - 국내송금 필터동작 확인	1.18	04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인
MENU	146	HIstory	Remittance	인바운드 필터 동작 확인 			04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인	1.18	04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인
MENU	147	HIstory	Remittance	인바운드 상세페이지 확인 			04_Menu_History	[12] History - Remittance - 국내송금 상세페이지 확인	0.76	04_Menu_History	[08] History - Remittance - 스케줄송금 상세페이지 확인
MENU	148	HIstory	Remittance	인바운드 이력 다운로드 동작 확인			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.77	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	149	HIstory	Remittance	인바운드 검색 동작 확인 			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	1.18	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	150	HIstory	Account	Wallet Statement 잔액 확인 			04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인	1.18	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	151	HIstory	Account	Wallet Statement 필터 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	1.18	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	152	HIstory	Account	Wallet Statement 이력 다운로드 동작 확인			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.89	04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인
MENU	153	HIstory	Account	Wallet Statement 검색동작 확인 			04_Menu_History	[23] History - Account - Wallet Statement 검색동작 확인	1.18	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	154	HIstory	Account	Bank Statement 조회 확인 			04_Menu_History	[24] History - Account - Bank Statement 조회 확인	1.18	04_Menu_History	[20] History - Account - Wallet Statement 잔액 확인
MENU	155	HIstory	Account	Bank Statement 검색 동작 확인 			04_Menu_History	[24] History - Account - Bank Statement 조회 확인	0.86	04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인
MENU	156	HIstory	GMEPAY	All 탭 잔액 확인			04_Menu_History	[26] History - GMEPAY - All(모든 거래) 탭 잔액 확인	0.85	04_Menu_History	[27] History - GMEPAY - All 탭 이력 및 검색동작 확인
MENU	157	HIstory	GMEPAY	All 탭 이력 및 검색동작 확인			04_Menu_History	[27] History - GMEPAY - All 탭 이력 및 검색동작 확인	1.18	04_Menu_History	[11] History - Remittance - 국내송금 검색동작 확인
MENU	158	HIstory	GMEPAY	Card Expenses 이력 및 검색동작 확인			04_Menu_History	[28] History - GMEPAY - Card Expenses(사용 내역) 이력 및 검색동작 확인	0.98	04_Menu_History	[27] History - GMEPAY - All 탭 이력 및 검색동작 확인
MENU	159	HIstory	GMEPAY	Purchase History 이력 및 검색동작 확인			04_Menu_History	[29] History - GMEPAY - Purchase History(결제 내역) 이력 및 검색동작 확인	0.99	04_Menu_History	[27] History - GMEPAY - All 탭 이력 및 검색동작 확인
MENU	160	HIstory	Top-up	Domestic Topup 리스트 노출 확인			04_Menu_History	[30] History - Top-up - Domestic(국내 송금) Topup 리스트 노출 확인	0.98	04_Menu_History	[32] History - Top-up - Domestic Topup 검색 동작 확인
MENU	161	HIstory	Top-up	Domestic Topup 필터 동작 확인			04_Menu_History	[31] History - Top-up - Domestic Topup 필터 동작 확인	1.18	04_Menu_History	[32] History - Top-up - Domestic Topup 검색 동작 확인
MENU	162	HIstory	Top-up	Domestic Topup 검색 동작 확인			04_Menu_History	[32] History - Top-up - Domestic Topup 검색 동작 확인	1.18	04_Menu_History	[31] History - Top-up - Domestic Topup 필터 동작 확인
MENU	163	HIstory	Top-up	International Topup 리스트 노출 확인 			04_Menu_History	[33] History - Top-up - International(해외) Topup 리스트 노출 확인	1.06	04_Menu_History	[35] History - Top-up - International Topup 검색 동작 확인
MENU	164	HIstory	Top-up	International Topup 필터 동작 확인			04_Menu_History	[34] History - Top-up - International Topup 필터 동작 확인	1.18	04_Menu_History	[35] History - Top-up - International Topup 검색 동작 확인
MENU	165	HIstory	Top-up	International Topup 검색 동작 확인			04_Menu_History	[35] History - Top-up - International Topup 검색 동작 확인	1.18	04_Menu_History	[34] History - Top-up - International Topup 필터 동작 확인
MENU	166	HIstory	Coupon Box	사용가능한 쿠폰 / 사용한 쿠폰 / 만료된 쿠폰 / 서비스쿠폰 리스트 확인			04_Menu_History	[33] History - Top-up - International(해외) Topup 리스트 노출 확인	0.36	04_Menu_History	[30] History - Top-up - Domestic(국내 송금) Topup 리스트 노출 확인
MENU	167	HIstory	Reward Point	Reward Point 필터 동작 확인 			04_Menu_History	[21] History - Account - Wallet Statement 필터 동작 확인	0.66	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	168	HIstory	Reward Point	[Go To GME Shop ] 선택 시 Shop 페이지로 이동 확인 			04_Menu_History	[43] History - My Usage - GME Card 선택 시 화면 진입 확인 (맨 뒤 배치)	0.47	04_Menu_History	[32] History - Top-up - Domestic Topup 검색 동작 확인
MENU	169	HIstory	Bill Payment	Bill Payment History 필터 동작 확인			04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인	1.18	04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인
MENU	170	HIstory	Bill Payment	Bill Payment History 검색 동작 확인			04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인	1.18	04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인
MENU	171	Branch	Bill Payment	Branch 주소 복사 동작 확인			04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인	0.51	04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인
MENU	172	Branch	Bill Payment	Branch 주소 한영 변환 동작 확인 			04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인	0.49	04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인
MENU	173	Branch	Bill Payment	Branch 영업시간 노출/비노출 동작 확인			04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인	0.47	04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인
MENU	174	Branch	Bill Payment	Branch 지도 선택 시 정상 동작 확인 			04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인	0.48	04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인
MENU	175	About GME	Bill Payment	About GME App 버전 정상 노출 확인			26_Menu	[04] 드로어 → GME 소개 → 앱 버전/업데이트 확인 노출	0.37	04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인
MENU	176	About GME	Bill Payment	Follow us on [f] 선택시, 사용자의 국적과 일치하는 페이스북 진입 확인			04_Menu_History	[40] History - Bill Payment - Bill Payment History 검색 동작 확인	0.30	04_Menu_History	[39] History - Bill Payment - Bill Payment History 필터 동작 확인
MENU	177	Settings	Change Password	현재 비밀번호 입력 동작 학인 			04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절	0.45	26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인
MENU	178	Settings	Change Password	새로운 비밀번호 입력 동작확인  			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.34	04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인
MENU	179	Settings	Change Password	새로운 비밀번호 확인입력 동작 확인 			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.37	04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인
MENU	180	Settings	Change Password	새로운 비밀번호 입력 시 규칙 적용 확인 			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.33	04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절
MENU	181	Settings	Change Password	새로운 비밀번호 일치하지 않을 시 저장 불가한지 확인  			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.26	04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절
MENU	182	Settings	Change Password	현재 비밀번호 일치하지 않을 시 저장 불가한지 확인 			04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절	0.31	04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인
MENU	183	Settings	Change Password	변경한 비밀번호로 로그인 동작 확인			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.35	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	184	Settings	Change Simple Password	숫자 키패드 [X] 버튼 동작 확인 * NO/ Yes 동작 확인 			04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인	0.26	04_Menu_History	[16] History - Remittance - 인바운드 필터 동작 확인
MENU	185	Settings	Change Simple Password	틀린 현재 간편비밀번호 입력 시 동작 확인			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.39	04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절
MENU	186	Settings	Change Simple Password	유효한 현재 간편비밀번호 입력 시 동작 확인 			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.39	04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절
MENU	187	Settings	Change Simple Password	새 간편 비밀번호 입력 시, 기존 간편 비밀번호 입력 불가 확인 			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.36	04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절
MENU	188	Settings	Change Simple Password	유효한 새 간편비밀번호 입력 시 동작 확인 			26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인	0.41	04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인
MENU	189	Settings	Change Simple Password	간편 비밀번호 재입력시, 다른 간편 비밀번호 입력 동작 확인			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.35	26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인
MENU	190	Settings	Change Simple Password	동일한 간편 비밀번호 재입력시 동작확인			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.37	04_02_Change_LoginPassword	[11] 현재 비밀번호 오입력 시 서버 거절
MENU	191	Settings	Change Simple Password	복합 비밀번호로 간편 비밀번호 변경시, 틀린 간편 비밀번호 입력 동작 확인 - 5회까지 입력 가능하며, 5회 실패시 로그인 화			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.24	26_Menu	[08-3] 설정 → 추천인 번호 → 코드 입력 동작 확인
MENU	192	Settings	Change Simple Password	복합 비밀번호로 간편 비밀번호 변경 확인			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.54	26_Menu	[08-5] 설정 → 간편 비밀번호 변경 → 키패드 [X] → 취소 팝업 아니요/예
MENU	193	Settings	Change Simple Password	얼굴 검증(Passport)으로 간편 비밀번호 변경 확인 - ID Number not matched - Face Verific			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.22	04_Menu_History	[35] History - Top-up - International Topup 검색 동작 확인
MENU	194	Settings	Change Simple Password	얼굴 검증(Korean ID Card)으로 간편 비밀번호 변경 확인 - ID Number not matched - Face V			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.21	04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인
MENU	195	Settings	Change Simple Password	얼굴 검증(Alien ID Card)으로 간편 비밀번호 변경 확인 - ID Number not matched - Face Ve			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.21	04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인
MENU	196	Settings	Change Simple Password	변경된 간편 비밀번호로 로그인 동작 확인			04_01_Change_SimplePassword	[01] 드로어 → 설정 → 간편 비밀번호 변경 진입 확인	0.33	04_Menu_History	[19] History - Remittance - 인바운드 검색 동작 확인
MENU	197	Settings	Use Biometirc	단말 생체인식 미사용 시, App 생체인식 비활성화확인 			26_Menu	[08-1] 설정 → GME 회원 탈퇴 → 동의 체크박스 미선택 시 "계속" 비활성화	0.15	26_Menu	[08-2] 회원 탈퇴 → 사유 화면 → 사유 미선택 시 "계정 삭제하기" 비활성화
MENU	198	Settings	Use Biometirc	단말 생체인식 사용 시, App 생체인식 활성화 확인 			04_Menu_History	[28] History - GMEPAY - Card Expenses(사용 내역) 이력 및 검색동작 확인	0.17	04_Menu_History	[48] History - My Usage - International Top-up 선택 시 화면 진입 확인
