그룹	행	2Depth	3Depth	Checklist	현재H	현재I	후보1_yaml	후보1_케이스	점수	후보2_yaml	후보2_케이스
Domestic Transfer	269	Transfer Try_Wallet	Simple Password	영수증 및 영수증 다운로드 동작 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.22	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	270	Transfer Try_Wallet	Biometric	생체인식 틀릴 시 송금불가 확인 - Simple Password 발생 확인 및 입력 시 정상 송금 동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.24	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	271	Transfer Try_Wallet	Biometric	생체인식 일치 시 송금동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.27	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	272	Transfer Try_Wallet	Biometric	영수증 및 영수증 다운로드 동작 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.22	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	273	Transfer Try_Openbanking (KFTC)	Biometric	KFTC 계좌 >내 은행 송금 동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.50	03_Domestic	[01] Wallet → KFTC 은행계좌 송금
Domestic Transfer	274	Transfer Try_Openbanking (KFTC)	Biometric	KFTC 계좌 >다른월렛 송금 불가 동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.58	03_Domestic	[01] Wallet → KFTC 은행계좌 송금
Domestic Transfer	275	Transfer Try_Openbanking (KFTC)	OTP / Simple Password	OTP 불일치 시 송금불가 확인 			03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인	0.62	03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인
Domestic Transfer	276	Transfer Try_Openbanking (KFTC)	OTP / Simple Password	OTP 일치 시 송금동작 확인 			03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인	0.39	03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인
Domestic Transfer	277	Transfer Try_Openbanking (KFTC)	OTP / Simple Password	영수증 및 영수증 다운로드 동작 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.22	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	278	Transfer Try_Openbanking (KFTC)	Biometric	생체인식 틀릴시 송금 불가 확인  - OTP 입력페이지 발생 확인 및 정상 입력 시 송금 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.23	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	279	Transfer Try_Openbanking (KFTC)	Biometric	생체인식 일치 시 송금동작 확인 			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.27	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	280	Transfer Try_Openbanking (KFTC)	Biometric	영수증 및 영수증 다운로드 동작 확인			03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인	0.22	03_Domestic	[06] KFTC → My Wallet OTP 불일치 시 송금불가 확인
Domestic Transfer	281	Transfer Try_Openbanking (KFTC)	Biometric	KFTC 계좌에서 송금 시도 시 수수료 부과 확인 			03_Domestic	[01] Wallet → KFTC 은행계좌 송금	0.34	03_Domestic	[05] KFTC → 타인 Wallet 송금 불가 동작 확인
Today's Rate	282	Calculate Rate	Biometric	나라별 환율계산 동작 확인  - 방글라데시 선택 시 Best Rate / Express Rate 노출 확인 	07_TodaysRate	[01]+[02]+[03]+[04] 환율 조회·BDT·특급환율·송금					
Today's Rate	283	Calculate Rate	Biometric	지금 송금하기 버튼 탭 → 해외송금 수취인 선택 화면 이동 확인	07_TodaysRate	[04] 지금 송금하기→수취인 선택 화면					
Domestic Topup	284	Calculate Rate	Biometric	자동입력된 핸드폰 번호 노출 확인 			10_DomesticTopup	[01] Phone Number - 자동입력된 핸드폰 번호 노출 확인	1.00	10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인
Domestic Topup	285	Calculate Rate	Biometric	핸드폰 번호 삭제 후 정상입력동작 확인 			10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인	1.00	10_DomesticTopup	[01] Phone Number - 자동입력된 핸드폰 번호 노출 확인
Domestic Topup	286	Calculate Rate	Biometric	주소록 버튼 선택 시 주소록 번호 모바일 필드에 추가 동작 확인			10_DomesticTopup	[03] Phone Number - 주소록 버튼 선택 시 주소록 번호 모바일 필드에 추가 동작 확인	1.00	10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인
Domestic Topup	287	Wallet Charging_PPS	Simple Password	PPS 번호 충전 동작 확인  (실패동작으로 확인가능)			10_DomesticTopup	[04] Wallet Charging (PPS) - PPS 번호 충전 동작 확인 (Simple PW) — 실패동작으로 확인	0.72	10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인
Domestic Topup	288	Wallet Charging_PPS	Biometric	PPS 번호 충전 동작 확인  (실패동작으로 확인가능)			10_DomesticTopup	[04] Wallet Charging (PPS) - PPS 번호 충전 동작 확인 (Simple PW) — 실패동작으로 확인	0.72	10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인
Domestic Topup	289	Openbanking Charging_PPS (KFTC)	OTP / Simple Password	PPS 번호 충전 동작 확인  (실패동작으로 확인가능)			10_DomesticTopup	[04] Wallet Charging (PPS) - PPS 번호 충전 동작 확인 (Simple PW) — 실패동작으로 확인	0.72	10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인
Domestic Topup	290	Openbanking Charging_PPS (KFTC)	Biometric	PPS 번호 충전 동작 확인  (실패동작으로 확인가능)			10_DomesticTopup	[04] Wallet Charging (PPS) - PPS 번호 충전 동작 확인 (Simple PW) — 실패동작으로 확인	0.72	10_DomesticTopup	[02] Phone Number - 핸드폰 번호 삭제 후 정상입력동작 확인
International Topup	291	Openbanking Charging_PPS (KFTC)	Biometric	나라리스트 및 나라선택 동작 확인 			11_IntlTopup	[01] Select Country - 나라 리스트 노출 및 선택 (Sri Lanka)	0.26	11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)
International Topup	292	Openbanking Charging_PPS (KFTC)	Biometric	핸드폰 번호 입력동작 확인 			11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)	0.34	11_IntlTopup	[04] 잘못된 번호 입력 → 인라인 에러 + 계속 비활성
International Topup	293	Openbanking Charging_PPS (KFTC)	Biometric	출금계좌 선택 동작 확인 			11_IntlTopup	[03] Charging Account - 출금계좌 선택 (GME Wallet = 간편비밀번호 경로)	0.30	11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)
International Topup	294	Openbanking Charging_PPS (KFTC)	Biometric	올바르지않은 핸드폰 번호 입력 후 [Continue] 동작 시 에러팝업 발생 확인 			11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)	0.33	11_IntlTopup	[05] 올바른 번호 + [Continue] → 상품 선택 페이지 노출
International Topup	295	Openbanking Charging_PPS (KFTC)	Biometric	올바른 핸드폰 번호 입력 후 [Continue] 동작 시 상품 선택 창 노출 			11_IntlTopup	[05] 올바른 번호 + [Continue] → 상품 선택 페이지 노출	0.68	11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)
International Topup	296	Openbanking Charging_PPS (KFTC)	Biometric	Carrirer > 상품리스트 노출 확인 및 선택 동작 확인 			11_IntlTopup	[06] Carrier - 통신사 리스트 노출 및 선택 (Dialog Sri Lanka)	0.36	11_IntlTopup	[07] Product - 상품 요금제 리스트 노출 및 선택 (50 LKR)
International Topup	297	Openbanking Charging_PPS (KFTC)	Biometric	Product > 상품요금제 노출 확인 및 선택 동작 확인			11_IntlTopup	[07] Product - 상품 요금제 리스트 노출 및 선택 (50 LKR)	0.44	11_IntlTopup	[01] Select Country - 나라 리스트 노출 및 선택 (Sri Lanka)
International Topup	298	Openbanking Charging_PPS (KFTC)	Biometric	Amount > 상품요금제 금액에 따라 원화로 계산되어 노출 			11_IntlTopup	[08] Amount - 상품 금액에 따라 원화(총 지급액) 자동 계산 노출	0.50	11_IntlTopup	[07] Product - 상품 요금제 리스트 노출 및 선택 (50 LKR)
International Topup	299	Wallet Charging	Simple Password	간편비밀번호 일치 시 충전동작 확인 - 간편비밀번호 불일치 시 충전동작 불가 확인 			11_IntlTopup	[09] Wallet Charging - 결제확인 → 간편비밀번호 화면까지만 (PIN 미입력)	0.34	11_IntlTopup	[03] Charging Account - 출금계좌 선택 (GME Wallet = 간편비밀번호 경로)
International Topup	300	Wallet Charging	Biometric	생체인식 일치 시 충전동작 확인  - 생체인식 불일치 시 간편비밀번호 발생 확인 			11_IntlTopup	[09] Wallet Charging - 결제확인 → 간편비밀번호 화면까지만 (PIN 미입력)	0.38	11_IntlTopup	[03] Charging Account - 출금계좌 선택 (GME Wallet = 간편비밀번호 경로)
International Topup	301	Openbanking Charging (KFTC)	OTP / Simple Password	OTP 일치 시 충전동작 확인 - OTP 불일치 시 충전불가 동작 확인  			11_IntlTopup	[02] 올바른 번호 입력 동작 확인 (0776348242 반영)	0.16	11_IntlTopup	[08] Amount - 상품 금액에 따라 원화(총 지급액) 자동 계산 노출
